configuration,Nxy,Nz,dx_um,padding,window_um,illumination_NA,theta_deg,phi_deg,continuous_born_scalar,continuous_rytov_scalar,continuous_born_co,continuous_rytov_co,continuous_born_full,continuous_rytov_full,scalar_co,scalar_full,polarization_leakage,voxel_born_scalar,voxel_rytov_scalar,voxel_born_co,voxel_rytov_co,voxel_born_full,voxel_rytov_full,voxel_born_continuous_gap,voxel_rytov_continuous_gap,scalar_norm2,co_norm2,vector_norm2,max_abs_rytov_phase,voxel_volume_error,voxel_seconds
sampling_0p05,1024,0,0.05,0,51.2,0.25,10.7901483426374,225,0.901208321493438,0.101909238218803,0.901588500732223,0.101731430463765,0.901683921743004,0.106109610312843,0.00719677628619211,0.0311645214405679,0.0303229522136179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5506.18066996354,5497.29573690367,5502.35505019884,2.24922982115767,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.3,12.9825856588502,225,0.906079502471148,0.103267744605144,0.906458585080438,0.103097956232214,0.9065491679399,0.107425807674609,0.00713292876022731,0.0311726780416635,0.0303464007415354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5564.48900664085,5555.51729691563,5560.63811100572,2.31406396245996,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.35,15.1945496629494,225,0.9119393300844,0.104951687787785,0.912317635909364,0.104789863896252,0.912402387981031,0.1090554548247,0.00705326274436503,0.0311770272865595,0.0303694649007903,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5635.1229065327,5626.05596264731,5631.24968900374,2.30750001340742,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.4,17.4299682548373,225,0.918850343446748,0.106958997199704,0.919226410094984,0.106803877272098,0.919304307025551,0.110997151011775,0.0069690821599961,0.0311827011036839,0.0303946970870263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5719.051632481,5709.88066597635,5715.16054624196,2.3472608096015,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.45,19.6931284542689,225,0.926878369916632,0.109302249415715,0.927251906684728,0.109163008129434,0.927321851561559,0.113272883714088,0.00687481787291366,0.0311837865903334,0.030417250921109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5817.53996933755,5808.24067524614,5813.61948921311,2.37399775573011,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.5,21.9887681072876,225,0.936108181403101,0.111979254226426,0.936479142932958,0.111865059903044,0.93653997493838,0.115881346327548,0.00676979262151926,0.031178097950624,0.0304349495064472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5932.06913126115,5922.62499487395,5928.11612674643,2.42855984753882,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.05,2.14579781294776,270,0.890840029374835,0.0990369074892046,0.891222856585756,0.0988353193408184,0.89132855328089,0.103321446768238,0.00732936082131855,0.0311370796089171,0.0302629706971183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5383.48932181992,5374.77074812774,5379.69773028215,2.38054648340508,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.1,4.294612721817,270,0.892141255984016,0.0994049525527275,0.892522971516607,0.0992030202364828,0.89262727142153,0.103670688733933,0.00730556746536703,0.0311240007463033,0.0302552633693943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5398.43750914895,5389.71393647945,5394.65209830445,2.34891809399324,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.15,6.44950021830543,270,0.894253863207245,0.100002401560883,0.894636211129052,0.0998028472660791,0.89473825389927,0.104240929888096,0.00727051242291611,0.0311044345775234,0.0302435753421498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5423.78576967661,5415.02435534676,5419.98187102883,2.30347262603119,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.2,8.61359395458848,270,0.897280970780408,0.100834021888548,0.897662742441487,0.100637117471663,0.89776156920803,0.105034493920721,0.00721869371009846,0.0310762113487983,0.0302269578982801,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5459.45491489856,5450.66431545807,5455.64897271085,2.23214879809032,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.25,10.7901483426374,270,0.901208153641914,0.1019108522067,0.901589399562345,0.101719335276622,0.901684080601564,0.106064803839273,0.00715261467040344,0.0310398564239419,0.0302052887159128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5506.18298287884,5497.34284193058,5502.36297487833,2.2561411610179,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.3,12.9825856588502,270,0.906079551190287,0.103267383001791,0.906460206411982,0.103081443892522,0.906549774455255,0.107362522855367,0.00706641164689415,0.0309918023723441,0.030176201068671,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5564.48854855434,5555.59047168311,5560.65402053304,2.32045854292875,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.35,15.1945496629494,270,0.91193930350803,0.104951760619972,0.912318940783141,0.104771211336423,0.912402414829595,0.108974515847468,0.00696557560279169,0.0309335605791134,0.0301398407757826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5635.12381191993,5626.15761833931,5631.27312316833,2.31599885538996,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.4,17.4299682548373,270,0.918850474494934,0.106959203068974,0.919228993425978,0.106781122992801,0.919305367018222,0.110894909049766,0.00685728371347958,0.0308671427479489,0.0300965239581929,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5719.05040482707,5710.00307291243,5715.17988716558,2.36156201299172,NaN,NaN
